SN,Continent,Country,Location_Name,Location_Code,Cluster_Name,Cluster_Code,Plot_ Name,Plot_ Code,Minumum_Plot_Dimention (m),Maximum_Plot_Dimention (m),Total_Plot_Edge (m),Census_Date,PI,Latitude (plot),Longitude (plot),x (plot),y (plot),Tag_No,Family,Original_Identification,Genus,Species,Species_Code,Edibility_Category,x (tree),y (tree),Elevation (m),Dimater (cm),Plot_Comments 
1,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,85,Sapindaceae,Blighia sapida,Blighia,Blighia sapida,BLSA,Edible,437796,593227,133,23,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
2,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,86,Ebenaceae,Diospyros suaveolens,Diospyros,Diospyros suaveolens,DISU,Inedible,437796,593227,133,13,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
3,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,87,Combretaceae,Combretrum grandifolia,Combretrum,Combretrum grandifolia,COGR,Inedible,437798,593233,134,13,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
4,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,88,Annonaceae,Enanthia chlorantia,Enantia,Enantia chlorantha,ENCH,Inedible,437798,593239,134,37,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
5,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,89,Moraceae,Ficus capensis,Ficus,Ficus capensis,FICA,Inedible,437796,593233,133,16,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
6,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,90,Phyllanthaceae,Uapaca staudtii,Uapaca,Uapaca staudtii,UAST,Edible,437796,593233,133,15,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
7,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,91,Olacaceae,Caula edulis,Caula,Caula edulis,CAED,Edible,437794,593231,133,12,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
8,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,92,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,437794,593239,133,14,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
9,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,93,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,437792,593240,133,14,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
10,Africa,Nigeria,"Erukut in Oban Sector, Cross River National Park",ENP-01,Erukut Location 1,ERK-01,Erukut Location 1 Plot 1,L1P1,40,40,160,23/08/2019,Sijeh Asuk,5.37,8.44,437845.62,593260.61,94,Moraceae,Ficus capensis,Ficus,Ficus capensis,FICA,Inedible,437792,593237,133,12,This plot is located at the erukut camp site Oban Division of Cross River National Park. Erukut Camp site is after Nsan community in Akamkpa Local Government Area. The three plots in Erukut are 200 meters apart from each other.
